,Loyalty#,Province or State,City,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,Customer Lifetime Value,EnrollmentType,DaysSinceEnrollment,DaysSinceCancellation,EnrollmentDurationInDays,IsCancelled,SumNumFlights,AvgNumFlights,AvgVarNumFlights,SumPointsAccumulated,PropOfRedeem,PropOfCompanionFlights,MonthsSinceLastFlight,NumMonthsWithFlights,Flights_Month_1,Flights_Month_2,Flights_Month_3,Flights_Month_4,Flights_Month_5,Flights_Month_6,Flights_Month_7,Flights_Month_8,Flights_Month_9,Flights_Month_10,Flights_Month_11,Flights_Month_12,PropCompFlightsSeason_LowSeasonEarlyYear,PropCompFlightsSeason_PeakSeasonSummer,PropCompFlightsSeason_Autumn,PropCompFlightsSeason_HolidayPeak
10,932823,British Columbia,Vancouver,female,Bachelor,Suburban,47199.0,Married,Star,3863.31,Standard,1384,,1384.0,False,236.0,8.137931034482758,49.34,43128.26,17.75,22.03,1.0,29.0,0.0,7.39,13.06,3.65,18.82,13.41,3.75,11.44,12.45,13.23,12.23,11.28,11.72,42.18,16.97,0.0
11,144514,British Columbia,Dawson Creek,female,Bachelor,Urban,24204.0,Married,Star,3864.78,Standard,933,,933.0,False,151.0,7.190476190476191,46.05,36557.74,35.63,33.11,1.0,20.0,24.66,15.71,11.43,10.0,12.86,10.0,22.35,11.66,1.14,14.04,7.14,18.55,6.67,54.61,52.78,0.0
12,611765,Quebec,Quebec City,male,Bachelor,Suburban,79628.0,Single,Star,3867.97,Standard,336,,336.0,False,86.0,9.555555555555555,41.57,17203.0,20.07,25.58,0.0,9.0,0.0,11.63,12.79,3.49,12.79,0.0,10.47,0.0,15.12,3.49,15.12,15.12,25.71,100.0,13.79,0.0
13,988178,Quebec,Montreal,male,College,Rural,0.0,Single,Star,3871.07,Standard,1904,,1904.0,False,309.0,9.65625,44.3,55788.05,26.8,27.83,0.0,32.0,7.47,9.27,12.95,9.72,11.95,12.29,3.94,11.25,7.62,4.09,4.82,14.13,20.6,57.02,13.33,23.08
14,286114,Ontario,Toronto,female,College,Rural,0.0,Single,Star,3872.22,Standard,762,,762.0,False,143.0,5.958333333333333,83.33,41743.26,62.07,35.66,1.0,22.0,10.74,4.06,0.89,0.89,2.9,28.57,14.92,29.17,26.19,0.0,11.49,19.82,64.44,41.15,12.22,24.75
15,205785,Ontario,Toronto,male,Master,Rural,28142.0,Married,Star,3873.65,Standard,858,,858.0,False,193.0,7.423076923076923,60.51,39200.78,49.54,33.68,0.0,26.0,1.78,16.02,0.0,16.03,0.0,13.32,21.72,10.32,10.32,7.26,7.2,7.95,14.7,30.24,25.92,72.22
16,735304,Alberta,Edmonton,female,Master,Urban,28142.0,Married,Star,3873.65,Standard,755,,755.0,False,126.0,5.478260869565218,63.92,39010.28,33.55,23.02,0.0,23.0,9.29,5.63,7.88,13.16,5.63,5.63,23.94,9.88,0.0,15.74,9.86,27.14,47.14,5.56,46.67,11.11
17,438936,Quebec,Montreal,male,Bachelor,Rural,84981.0,Married,Star,3878.77,Standard,1887,,1887.0,False,265.0,10.192307692307692,43.53,43960.88,9.17,19.25,0.0,26.0,1.3,6.21,10.12,14.29,15.97,16.27,13.83,17.01,5.35,0.0,9.78,13.57,17.54,18.61,37.95,16.5
18,243713,New Brunswick,Moncton,female,College,Rural,0.0,Married,Star,3883.4,2021 Promotion,324,,324.0,False,202.0,8.416666666666666,60.37,38883.94,0.0,24.26,0.0,23.0,3.93,0.71,19.51,0.0,13.57,11.03,19.77,8.22,0.0,5.48,14.77,17.3,16.91,47.05,10.37,12.82
19,354730,New Brunswick,Fredericton,female,College,Urban,0.0,Married,Star,3885.46,Standard,1529,362.0,1167.0,True,129.0,6.7894736842105265,71.75,29602.12,0.0,37.21,11.0,19.0,45.85,7.02,0.0,7.02,0.0,23.5,5.44,13.33,18.77,2.29,3.87,0.0,25.32,53.59,9.13,0.0
20,413741,Ontario,Toronto,female,College,Urban,0.0,Married,Star,3885.46,Standard,1249,,1249.0,False,185.0,8.80952380952381,65.76,28970.01,89.7,36.22,5.0,21.0,13.46,0.0,12.75,4.78,34.04,0.0,33.04,10.89,6.51,5.05,14.48,0.0,25.57,36.31,58.12,0.0
21,552965,Quebec,Montreal,male,College,Rural,0.0,Married,Star,3885.46,Standard,42,,42.0,False,11.0,11.0,0.0,2101.0,0.0,54.55,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,54.55
22,642313,Alberta,Edmonton,male,College,Suburban,0.0,Married,Star,3885.46,Standard,1014,,1014.0,False,166.0,6.64,63.13,41074.36,56.25,34.94,3.0,24.0,12.46,4.18,11.65,18.95,14.0,30.0,0.0,24.17,5.34,0.79,11.22,12.95,50.87,0.0,71.3,6.25
23,263080,Alberta,Edmonton,male,College,Urban,0.0,Single,Star,3886.5,Standard,1684,,1684.0,False,136.0,6.8,62.5,24173.36,10.86,25.74,0.0,19.0,6.87,0.0,11.76,21.86,20.83,7.84,0.0,22.14,1.06,12.96,13.73,23.53,23.61,37.94,9.52,25.0
24,109767,Ontario,Toronto,female,Bachelor,Suburban,78108.0,Single,Star,3886.65,Standard,954,,954.0,False,210.0,7.0,54.75,48122.4,47.68,28.57,0.0,30.0,10.51,13.33,9.96,8.54,10.78,3.87,17.73,11.75,6.71,3.87,10.03,9.56,32.77,13.8,59.49,0.0
25,217754,Quebec,Montreal,female,Bachelor,Urban,96335.0,Single,Star,3887.32,Standard,1289,,1289.0,False,164.0,7.454545454545454,77.09,36215.78,0.0,12.8,0.0,21.0,5.16,16.12,5.62,12.13,0.0,26.51,31.51,9.25,0.0,20.0,7.99,2.5,43.22,8.69,50.0,0.0
26,157005,British Columbia,Vancouver,male,Bachelor,Rural,91182.0,Married,Star,3890.87,Standard,791,,791.0,False,249.0,8.3,43.97,52564.71,13.81,30.92,1.0,30.0,8.21,11.04,14.21,7.44,6.81,9.84,14.21,12.49,14.57,5.57,7.82,0.0,24.83,40.43,29.67,0.0
27,557752,Ontario,Toronto,female,Bachelor,Suburban,91182.0,Married,Star,3890.87,Standard,447,,447.0,False,94.0,7.833333333333333,80.71,22370.44,50.08,32.98,0.0,12.0,16.13,1.61,8.06,1.61,9.68,1.61,3.23,0.0,20.97,9.68,0.0,75.81,52.17,0.0,26.32,28.5
28,608758,Ontario,Ottawa,male,Bachelor,Rural,43578.0,Married,Star,3890.96,Standard,1994,,1994.0,False,177.0,6.103448275862069,73.58,35937.1,0.0,31.07,0.0,29.0,5.72,11.11,15.56,6.46,4.09,21.83,5.69,7.57,6.67,5.2,23.31,10.91,16.48,51.25,32.16,47.22
29,599341,Quebec,Tremblant,female,Bachelor,Rural,31409.0,Married,Star,3891.54,Standard,1134,,1134.0,False,288.0,8.228571428571428,57.54,70961.8,31.0,20.49,0.0,35.0,5.4,8.2,7.85,3.79,6.58,4.5,14.41,13.32,9.28,9.28,10.27,10.53,28.42,23.09,5.79,49.91
30,333502,British Columbia,Vancouver,male,College,Urban,0.0,Married,Star,3891.58,Standard,1762,,1762.0,False,184.0,10.222222222222221,49.38,33735.33,9.5,20.65,0.0,18.0,10.75,0.0,20.92,0.0,5.38,15.05,30.28,19.35,24.15,11.83,13.51,5.38,21.17,10.46,12.96,100.0
31,201574,Ontario,Ottawa,female,Bachelor,Suburban,26605.0,Married,Star,3893.31,Standard,1364,1120.0,244.0,True,,,,,,,,,,,,,,,,,,,,,,,,
32,403361,British Columbia,Vancouver,male,Bachelor,Rural,52361.0,Single,Star,3895.03,Standard,432,,432.0,False,77.0,7.7,67.08,18369.92,0.0,23.38,1.0,10.0,0.0,8.77,22.81,0.0,1.75,0.0,28.07,19.3,5.26,12.28,67.25,0.0,5.26,59.26,3.03,0.0
33,543918,Quebec,Montreal,male,High School or Below,Urban,10853.0,Married,Star,3896.57,Standard,2233,,2233.0,False,261.0,8.419354838709678,47.49,44664.93,95.85,38.31,1.0,31.0,9.26,1.5,13.12,7.86,0.0,10.19,12.65,13.35,11.95,5.79,13.12,4.73,28.03,51.62,24.68,100.0
34,806030,Alberta,Calgary,female,Bachelor,Urban,60068.0,Married,Star,3903.47,Standard,241,,241.0,False,50.0,8.333333333333334,67.74,12642.0,36.81,12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,26.0,16.0,0.0,4.0,26.0,2.0,26.0,0.0,0.0,37.5,0.0
35,119200,British Columbia,Vancouver,female,Bachelor,Rural,51833.0,Divorced,Star,3903.8,Standard,601,,601.0,False,143.0,7.944444444444445,57.52,27176.13,29.86,27.27,1.0,18.0,10.67,8.0,4.0,2.67,14.67,35.89,0.0,13.05,9.33,4.0,13.69,29.38,3.33,40.94,4.76,44.95
36,175967,British Columbia,Whistler,male,Bachelor,Suburban,60230.0,Married,Star,3906.67,2021 Promotion,318,,318.0,False,185.0,8.409090909090908,60.82,28355.06,18.12,26.49,0.0,22.0,16.4,6.7,7.77,11.76,14.2,27.43,31.37,0.0,12.7,2.2,21.57,8.43,28.31,6.9,71.38,0.0
37,238119,Quebec,Montreal,male,Bachelor,Rural,60230.0,Married,Star,3906.67,Standard,2051,,2051.0,False,237.0,8.777777777777779,62.43,41036.05,12.33,21.94,0.0,26.0,0.59,9.27,7.05,16.47,0.0,21.12,19.27,0.0,5.78,14.38,3.17,10.58,34.12,4.18,0.0,83.8
38,730388,Ontario,Thunder Bay,male,College,Rural,0.0,Single,Star,3907.03,Standard,2434,,2434.0,False,230.0,8.214285714285714,62.11,53125.86,0.0,26.96,0.0,27.0,0.0,1.58,11.99,4.22,11.49,26.62,14.11,12.15,9.64,10.34,9.51,11.77,27.39,29.86,31.5,0.0
39,834891,British Columbia,Vancouver,female,Bachelor,Rural,30821.0,Married,Star,3911.12,Standard,662,621.0,41.0,True,,,,,,,,,,,,,,,,,,,,,,,,
40,127400,British Columbia,Whistler,female,College,Rural,0.0,Single,Star,3914.72,Standard,1648,,1648.0,False,137.0,7.2105263157894735,63.65,40448.67,20.18,21.9,2.0,18.0,22.41,5.77,5.77,11.54,7.69,36.54,18.23,1.09,10.56,23.27,0.0,20.04,38.52,21.62,11.79,0.0
41,324557,Quebec,Montreal,female,College,Urban,0.0,Single,Star,3914.72,Standard,2136,,2136.0,False,158.0,6.583333333333333,48.85,36306.52,28.09,22.78,0.0,24.0,17.24,5.17,6.96,10.77,15.02,20.69,19.04,14.8,10.99,5.79,16.14,10.34,3.85,55.49,0.0,50.0
42,742002,Ontario,Toronto,female,College,Urban,0.0,Single,Star,3915.8,Standard,960,,960.0,False,136.0,6.476190476190476,67.42,26990.920000000002,16.24,25.74,1.0,20.0,17.72,9.49,15.69,23.16,20.1,0.0,23.53,3.92,0.0,20.83,6.22,1.06,23.41,28.57,27.22,0.0
43,536567,Alberta,Peace River,male,Bachelor,Suburban,66676.0,Married,Star,3919.37,Standard,963,,963.0,False,254.0,10.16,37.77,39489.92,24.76,19.29,0.0,25.0,9.09,6.36,6.28,10.0,12.73,11.06,13.87,17.59,11.67,10.91,9.66,18.13,29.83,15.34,11.46,12.03
44,704835,British Columbia,Whistler,male,Bachelor,Urban,66676.0,Married,Star,3919.37,Standard,835,,835.0,False,183.0,7.956521739130435,48.75,35380.2,52.54,28.42,3.0,23.0,10.77,9.59,9.59,13.47,20.55,13.7,17.01,23.29,5.9,9.99,15.47,15.47,37.4,6.84,69.31,0.0
45,733338,Ontario,Thunder Bay,female,Bachelor,Rural,66676.0,Married,Star,3919.37,Standard,941,696.0,245.0,True,19.0,9.5,7.44,1853.04,0.0,36.84,23.0,2.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.67,0.0,0.0,0.0
46,758635,Quebec,Montreal,male,Bachelor,Suburban,66676.0,Married,Star,3919.37,Standard,193,,193.0,False,31.0,10.333333333333334,53.3,3453.0,0.0,22.58,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,12.9,0.0,41.94,0.0,0.0,45.16,0.0,0.0,0.0,50.0
47,823048,British Columbia,Vancouver,male,Bachelor,Urban,66676.0,Married,Star,3919.37,Standard,235,,235.0,False,55.0,11.0,43.6,13144.0,0.0,14.55,1.0,5.0,0.0,0.0,0.0,0.0,0.0,21.82,10.91,32.73,12.73,0.0,21.82,0.0,0.0,11.11,21.05,0.0
48,612905,Ontario,Toronto,female,College,Rural,0.0,Married,Star,3920.51,Standard,1401,,1401.0,False,182.0,7.913043478260869,45.23,30563.93,29.06,37.36,0.0,23.0,16.63,7.25,11.59,9.84,10.87,0.0,21.27,2.9,16.63,17.69,9.43,10.14,24.94,86.25,31.87,100.0
49,679908,Quebec,Montreal,female,Bachelor,Rural,62445.0,Married,Star,3921.02,Standard,1233,,1233.0,False,195.0,6.5,69.13,46827.65,25.22,21.03,0.0,29.0,15.36,10.43,5.42,9.8,9.5,14.76,5.87,2.38,16.1,1.2,7.19,23.81,28.96,14.59,5.14,40.0
50,704150,Manitoba,Winnipeg,male,Bachelor,Urban,62445.0,Married,Star,3921.02,Standard,1525,,1525.0,False,181.0,7.869565217391305,47.9,36363.36,29.27,27.62,0.0,23.0,17.31,7.14,10.41,16.07,12.44,24.05,7.19,17.86,7.19,15.98,19.64,6.81,22.42,30.0,41.35,66.67
51,869743,Ontario,Sudbury,female,Bachelor,Suburban,56480.0,Single,Star,3924.42,Standard,781,538.0,243.0,True,97.0,9.7,31.51,19714.75,0.0,17.53,17.0,10.0,15.47,0.0,15.47,20.58,0.0,30.94,17.54,0.0,0.0,0.0,0.0,0.0,23.83,10.55,0.0,0.0
52,596179,New Brunswick,Fredericton,female,Bachelor,Suburban,25927.0,Single,Star,3933.81,Standard,1738,,1738.0,False,229.0,8.481481481481481,50.59,30332.74,0.0,18.34,1.0,26.0,11.83,12.15,15.48,10.18,17.43,11.04,5.39,0.0,10.97,13.26,16.67,0.51,20.71,22.22,21.17,0.0
53,370450,Ontario,Thunder Bay,female,High School or Below,Urban,20920.0,Married,Star,3934.1,Standard,2250,,2250.0,False,202.0,7.769230769230769,59.41,50533.41,41.44,36.63,0.0,25.0,15.31,4.04,12.15,14.63,0.0,14.14,8.08,9.26,3.58,18.64,3.28,19.28,43.01,82.5,30.46,8.16
54,501030,British Columbia,Vancouver,male,Bachelor,Urban,84229.0,Married,Star,3934.71,Standard,645,,645.0,False,134.0,7.052631578947368,42.4,26318.37,0.0,18.66,1.0,19.0,0.0,9.38,0.0,19.74,18.75,6.83,14.72,14.69,0.0,21.55,16.34,16.69,6.25,51.72,20.0,0.0
55,878633,Ontario,Trenton,female,Doctor,Rural,19245.0,Married,Star,3936.79,Standard,1854,,1854.0,False,226.0,9.04,49.93,48528.2,0.0,23.01,0.0,25.0,9.11,0.0,18.48,1.77,13.53,17.57,9.69,16.67,12.42,0.0,8.33,9.69,10.69,34.38,10.0,50.17
56,285938,Quebec,Montreal,female,Bachelor,Suburban,60021.0,Married,Star,3939.01,Standard,1579,,1579.0,False,191.0,8.304347826086957,46.13,39136.32,12.82,37.7,2.0,23.0,13.0,12.9,25.42,0.0,7.47,12.23,20.34,27.12,11.37,11.66,8.32,14.42,25.36,56.67,33.33,26.11
57,588237,Quebec,Tremblant,male,Bachelor,Rural,60021.0,Married,Star,3939.01,Standard,1861,,1861.0,False,174.0,6.96,66.03,35705.15,65.6,17.82,2.0,24.0,2.63,5.12,9.89,12.54,9.57,22.1,10.53,6.27,11.85,22.19,12.53,0.0,48.89,33.33,7.69,0.0
58,645280,British Columbia,West Vancouver,male,Bachelor,Suburban,60021.0,Married,Star,3939.01,Standard,2207,,2207.0,False,217.0,7.482758620689655,70.23,38646.18,31.28,20.74,2.0,28.0,9.73,18.64,0.58,15.2,2.65,23.99,8.89,16.47,10.87,10.28,6.96,1.86,6.2,19.83,27.1,100.0
59,864324,Quebec,Quebec City,female,Bachelor,Rural,60021.0,Married,Star,3939.01,Standard,210,,210.0,False,208.0,7.428571428571429,66.09,41894.1,43.42,25.96,1.0,26.0,11.49,7.55,10.34,5.75,5.1,17.06,12.42,19.71,10.2,6.14,2.42,21.52,14.98,28.75,29.65,0.0
60,124678,Nova Scotia,Halifax,male,Doctor,Urban,18375.0,Married,Star,3954.34,Standard,2026,,2026.0,False,246.0,8.2,65.19,42311.52,10.05,21.14,1.0,30.0,5.16,1.61,10.39,8.72,10.46,14.98,21.24,8.39,0.0,14.27,4.78,0.0,26.9,20.81,12.29,0.0
61,186015,British Columbia,Vancouver,male,Doctor,Rural,18375.0,Married,Star,3954.34,Standard,1212,,1212.0,False,186.0,9.789473684210526,46.39,31420.35,39.81,27.42,0.0,19.0,16.33,6.92,0.0,0.0,15.66,29.04,7.23,0.0,17.13,15.66,12.05,13.72,6.9,58.82,1.9,63.3
62,461108,Quebec,Montreal,male,Doctor,Urban,18375.0,Married,Star,3954.34,Standard,76,,76.0,False,6.0,3.0,47.14,2398.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.67,33.33,0.0,0.0,0.0,0.0
63,589580,British Columbia,Whistler,male,Doctor,Suburban,18375.0,Married,Star,3954.34,Standard,1221,,1221.0,False,245.0,10.208333333333334,37.33,37834.590000000004,39.59,19.18,0.0,24.0,12.24,8.62,12.33,12.05,14.67,12.33,22.89,18.39,0.0,6.79,10.84,9.85,10.27,20.07,70.37,15.0
64,623688,Ontario,London,female,Doctor,Rural,18375.0,Married,Star,3954.34,Standard,968,,968.0,False,252.0,9.333333333333334,41.07,36145.520000000004,55.02,27.78,1.0,27.0,5.54,7.92,12.69,11.26,10.67,19.28,17.06,6.5,13.25,10.84,14.68,7.69,23.7,25.48,51.28,0.0
65,751616,Ontario,Trenton,female,Doctor,Suburban,18375.0,Married,Star,3954.34,2021 Promotion,257,,257.0,False,87.0,7.25,36.79,24095.61,37.56,31.03,15.0,12.0,0.0,14.95,0.0,0.0,25.27,8.01,12.63,17.26,21.89,0.0,0.0,0.0,14.14,21.11,78.89,0.0
66,256147,Ontario,Toronto,female,College,Suburban,0.0,Married,Star,3958.0,Standard,2309,,2309.0,False,227.0,8.407407407407407,60.49,48697.08,9.99,36.12,2.0,27.0,4.29,4.29,15.23,3.43,14.0,16.58,20.56,11.33,6.77,5.81,0.0,12.13,17.58,36.22,51.79,78.89
67,329382,Quebec,Montreal,male,College,Suburban,0.0,Single,Star,3961.59,2021 Promotion,2317,,2317.0,False,,,,,,,,,,,,,,,,,,,,,,,,
68,140392,British Columbia,Vancouver,female,Bachelor,Rural,88701.0,Married,Star,3963.39,Standard,1987,,1987.0,False,164.0,6.833333333333333,58.16,27279.69,51.17,35.98,1.0,24.0,7.69,7.04,8.79,13.71,7.69,1.54,17.48,10.66,20.28,18.22,1.54,0.0,22.76,74.07,34.97,0.0
69,541008,Ontario,London,male,Bachelor,Suburban,38096.0,Divorced,Star,3963.4,2021 Promotion,270,,270.0,False,52.0,10.4,42.24,8816.0,0.0,46.15,0.0,5.0,0.0,0.0,0.0,0.0,7.69,15.38,0.0,25.0,0.0,23.08,0.0,28.85,100.0,42.86,25.0,53.33
70,230908,British Columbia,Vancouver,male,Doctor,Suburban,23474.0,Divorced,Star,3964.15,Standard,2409,,2409.0,False,253.0,8.724137931034482,57.79,54243.84,24.52,14.23,0.0,28.0,5.92,7.61,8.7,7.36,12.33,16.32,13.65,8.55,14.13,14.0,0.0,7.38,11.05,21.78,17.34,0.0
71,972581,British Columbia,Vancouver,male,High School or Below,Rural,14616.0,Married,Star,3964.53,Standard,1051,,1051.0,False,146.0,6.9523809523809526,50.34,28931.19,49.08,26.71,0.0,21.0,0.0,16.88,18.87,0.0,13.64,10.89,28.89,21.34,8.89,8.74,8.89,11.11,11.95,34.96,32.05,0.0
72,357549,British Columbia,Whistler,female,Bachelor,Rural,60817.0,Single,Star,3964.73,Standard,100,954.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,
73,157729,British Columbia,Victoria,male,Bachelor,Rural,72439.0,Married,Star,3966.13,2021 Promotion,287,,287.0,False,58.0,11.6,44.63,9562.0,0.0,22.41,0.0,5.0,0.0,0.0,0.0,12.07,25.86,0.0,25.86,0.0,8.62,0.0,0.0,27.59,36.36,0.0,0.0,31.25
74,910875,Quebec,Hull,female,Bachelor,Urban,72439.0,Married,Star,3966.13,Standard,2249,,2249.0,False,133.0,7.0,61.9,28952.62,13.42,18.8,0.0,18.0,29.14,22.08,18.73,12.05,16.87,0.0,12.92,19.28,2.41,0.0,6.02,5.61,23.56,0.0,28.57,50.0
75,501704,Quebec,Hull,male,College,Suburban,0.0,Divorced,Star,3974.86,Standard,2067,,2067.0,False,182.0,7.583333333333333,68.24,37657.840000000004,100.0,27.47,1.0,23.0,1.02,10.67,23.94,4.09,16.67,4.17,18.09,15.28,22.09,0.0,4.17,10.0,13.78,45.72,7.01,100.0
76,529098,British Columbia,Vancouver,female,College,Urban,0.0,Divorced,Star,3974.86,Standard,433,,433.0,False,97.0,7.461538461538462,61.57,18064.92,94.93,29.9,1.0,13.0,4.55,0.0,4.55,7.58,0.0,18.18,9.09,16.67,16.67,12.12,9.84,90.55,9.09,31.03,78.21,24.87
77,265297,Manitoba,Winnipeg,female,Bachelor,Urban,39101.0,Married,Star,3978.67,Standard,166,1019.0,0.0,True,38.0,9.5,55.37,4683.0,0.0,7.89,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.84,31.58,5.26,0.0,26.32,0.0,0.0,21.43,0.0
78,567875,Quebec,Quebec City,female,Bachelor,Suburban,96413.0,Married,Star,3979.72,Standard,594,,594.0,False,66.0,6.6,35.86,22530.97,0.0,25.76,0.0,10.0,0.0,0.0,0.0,0.0,31.43,28.99,42.02,25.71,0.0,0.0,25.71,25.04,72.73,31.11,0.0,0.0
79,688524,Manitoba,Winnipeg,female,Bachelor,Urban,98333.0,Married,Star,3980.42,Standard,2105,,2105.0,False,126.0,5.7272727272727275,72.53,26796.27,100.0,27.78,0.0,21.0,24.15,7.4,8.08,10.2,0.0,22.45,0.0,3.5,4.08,3.8,19.6,29.03,50.41,56.67,33.33,8.33
80,269070,British Columbia,Vancouver,male,Master,Rural,17220.0,Married,Star,3985.32,Standard,2177,,2177.0,False,214.0,7.133333333333334,51.24,54180.38,29.36,27.57,0.0,30.0,3.0,11.79,11.74,10.93,20.41,10.02,13.33,6.67,13.33,4.18,10.84,9.48,22.26,47.68,36.26,35.36
81,387705,Quebec,Hull,female,Master,Suburban,17220.0,Married,Star,3985.32,Standard,2070,,2070.0,False,210.0,8.4,42.37,38157.34,43.71,22.38,1.0,25.0,6.25,13.93,11.25,11.45,8.75,7.5,2.76,18.53,13.99,14.58,13.51,0.0,33.19,30.89,7.14,0.0
82,923293,Saskatchewan,Regina,male,Bachelor,Suburban,75007.0,Divorced,Star,3985.55,Standard,932,,932.0,False,224.0,7.724137931034483,61.69,43895.87,21.87,25.89,0.0,29.0,12.45,6.95,11.43,6.87,6.73,12.69,18.0,13.91,8.61,8.57,5.78,13.86,28.28,33.33,34.23,100.0
83,283314,Ontario,Toronto,female,Bachelor,Suburban,54964.0,Married,Star,3991.73,Standard,2083,1426.0,657.0,True,,,,,,,,,,,,,,,,,,,,,,,,
84,322102,British Columbia,Vancouver,male,College,Suburban,0.0,Married,Star,3992.58,Standard,1959,1716.0,243.0,True,,,,,,,,,,,,,,,,,,,,,,,,
85,789157,British Columbia,Vancouver,female,College,Rural,0.0,Single,Star,3995.36,Standard,96,,96.0,False,12.0,6.0,23.57,2480.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.33,41.67,0.0,0.0,0.0,0.0,0.0
