Loyalty#,Province or State,City,Latitude,Longitude,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,Customer Lifetime Value,EnrollmentType,DaysSinceEnrollment,EnrollmentDurationInDays,DaysSinceCancellation,IsCancelled,SumNumFlights,AvgNumFlights,AvgVarNumFlights,SumPointsAccumulated,PropOfRedeem,PropOfCompanionFlights,MonthsSinceLastFlight,NumMonthsWithFlights,LowSeason_SumShare,PeakSeason_SumShare,Autumn_SumShare,HolidayMonth_December_SumShare,LowSeason_CompShare,PeakSeason_CompShare,Autumn_CompShare,HolidayMonth_December_CompShare
611765,Quebec,Quebec City,46.813877,-71.207977,male,Bachelor,Suburban,79628.0,Single,Star,3867.97,Standard,336,336.0,,False,86.0,9.555555555555555,41.57,17203.0,20.07,25.58,0.0,9.0,40.7,10.47,33.73,15.12,25.71,100.0,13.79,0.0
988178,Quebec,Montreal,45.50169,-73.567253,male,College,Rural,0.0,Single,Star,3871.07,Standard,1904,1904.0,,False,314.7,9.834375,43.09,55788.05,26.8,27.99,0.0,32.0,48.36,23.65,14.2,13.79,20.37,53.9,17.9,20.74
286114,Ontario,Toronto,43.653225,-79.383186,female,College,Rural,0.0,Single,Star,3872.22,Standard,762,762.0,,False,148.4,6.183333333333334,78.69,41743.26,62.07,38.48,1.0,24.0,20.55,46.83,18.53,14.08,56.39,42.16,17.82,27.27
205785,Ontario,Toronto,43.653225,-79.383186,male,Master,Rural,28142.0,Married,Star,3873.65,Standard,858,858.0,,False,197.1,7.5807692307692305,58.72,39200.78,49.54,34.45,0.0,26.0,29.729999999999997,41.61,23.24,5.43,13.31,41.71,37.34,82.24
735304,Alberta,Edmonton,53.544388,-113.49093,female,Master,Urban,28142.0,Married,Star,3873.65,Standard,755,755.0,,False,129.9,5.647826086956522,61.1,39010.28,33.55,23.86,0.0,23.0,36.959999999999994,24.330000000000002,18.02,20.71,27.71,12.66,50.0,7.43
438936,Quebec,Montreal,45.50169,-73.567253,male,Bachelor,Rural,84981.0,Married,Star,3878.77,Standard,1887,1887.0,,False,268.9,10.342307692307692,42.79,43960.88,9.17,19.78,0.0,26.0,28.980000000000004,42.620000000000005,15.059999999999999,13.35,12.84,17.8,42.22,15.88
243713,New Brunswick,Moncton,46.087818,-64.778229,female,College,Rural,0.0,Married,Star,3883.4,2021 Promotion,324,324.0,,False,206.0,8.583333333333334,58.35,38883.94,0.0,25.49,0.0,24.0,38.050000000000004,33.4,11.16,17.38,16.96,44.19,16.52,13.97
354730,New Brunswick,Fredericton,45.963589,-66.643112,female,College,Urban,0.0,Married,Star,3885.46,Standard,1529,1167.0,362.0,True,134.0,7.052631578947368,68.55,29602.12,0.0,38.28,11.0,19.0,33.36,41.12,25.52,0.0,38.26,55.17,11.11,0.0
413741,Ontario,Toronto,43.653225,-79.383186,female,College,Urban,0.0,Married,Star,3885.46,Standard,1249,1249.0,,False,189.5,9.023809523809524,64.28,28970.01,89.7,37.89,5.0,21.0,40.309999999999995,39.629999999999995,20.049999999999997,0.0,27.62,37.15,60.0,0.0
552965,Quebec,Montreal,45.50169,-73.567253,male,College,Rural,0.0,Married,Star,3885.46,Standard,42,42.0,,False,11.0,11.0,0.0,2101.0,0.0,54.55,0.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,54.55
642313,Alberta,Edmonton,53.544388,-113.49093,male,College,Suburban,0.0,Married,Star,3885.46,Standard,1014,1014.0,,False,169.7,6.787999999999999,60.57,41074.36,56.25,36.89,3.0,25.0,50.79,25.63,14.620000000000001,8.96,52.67,0.0,61.69,12.5
263080,Alberta,Edmonton,53.544388,-113.49093,male,College,Urban,0.0,Single,Star,3886.5,Standard,1684,1684.0,,False,140.3,7.015000000000001,60.25,24173.36,10.86,26.87,0.0,20.0,52.959999999999994,24.020000000000003,14.47,8.55,24.76,39.76,14.29,25.0
109767,Ontario,Toronto,43.653225,-79.383186,female,Bachelor,Suburban,78108.0,Single,Star,3886.65,Standard,954,954.0,,False,215.0,7.166666666666667,52.18,48122.4,47.68,29.95,0.0,30.0,42.89,27.81,19.3,10.0,32.32,14.55,62.41,0.0
217754,Quebec,Montreal,45.50169,-73.567253,female,Bachelor,Urban,96335.0,Single,Star,3887.32,Standard,1289,1289.0,,False,169.2,7.6909090909090905,74.79,36215.78,0.0,14.13,0.0,22.0,30.959999999999997,57.27,11.170000000000002,0.59,20.23,11.76,10.05,0.0
157005,British Columbia,Vancouver,49.28273,-123.12074,male,Bachelor,Rural,91182.0,Married,Star,3890.87,Standard,791,791.0,,False,254.1,8.47,42.91,52564.71,13.81,32.15,1.0,30.0,42.14,31.130000000000003,26.72,0.0,25.02,41.21,32.84,0.0
557752,Ontario,Toronto,43.653225,-79.383186,female,Bachelor,Suburban,91182.0,Married,Star,3890.87,Standard,447,447.0,,False,94.3,7.858333333333333,80.85,22370.44,50.08,33.4,0.0,12.0,24.38,3.18,20.15,52.28,52.17,0.0,26.32,29.41
608758,Ontario,Ottawa,45.421532,-75.697189,male,Bachelor,Rural,43578.0,Married,Star,3890.96,Standard,1994,1994.0,,False,183.1,6.313793103448275,69.83,35937.1,0.0,31.46,0.0,29.0,28.41,28.95,30.310000000000002,12.34,16.92,52.26,27.75,25.22
599341,Quebec,Tremblant,46.118462,-74.596184,female,Bachelor,Rural,31409.0,Married,Star,3891.54,Standard,1134,1134.0,,False,294.4,8.411428571428571,56.27,70961.8,31.0,21.67,0.0,35.0,30.87,32.3,25.78,11.04,29.7,20.5,7.51,35.69
333502,British Columbia,Vancouver,49.28273,-123.12074,male,College,Urban,0.0,Married,Star,3891.58,Standard,1762,1762.0,,False,186.1,10.338888888888889,48.12,33735.33,9.5,20.85,0.0,18.0,22.46,44.760000000000005,30.09,2.69,25.84,19.21,12.5,100.0
201574,Ontario,Ottawa,45.421532,-75.697189,female,Bachelor,Suburban,26605.0,Married,Star,3893.31,Standard,1364,244.0,1120.0,True,,,,,,,,,,,,,,,,
403361,British Columbia,Vancouver,49.28273,-123.12074,male,Bachelor,Rural,52361.0,Single,Star,3895.03,Standard,432,432.0,,False,77.9,7.790000000000001,66.73,18369.92,0.0,23.11,1.0,10.0,24.39,34.66,40.95,0.0,5.26,59.26,3.13,0.0
543918,Quebec,Montreal,45.50169,-73.567253,male,High School or Below,Urban,10853.0,Married,Star,3896.57,Standard,2233,2233.0,,False,266.7,8.603225806451613,46.39,44664.93,95.85,39.07,1.0,31.0,31.76,35.18,29.5,3.56,28.45,51.81,27.95,100.0
806030,Alberta,Calgary,51.048615,-114.07085,female,Bachelor,Urban,60068.0,Married,Star,3903.47,Standard,241,241.0,,False,50.0,8.333333333333334,67.74,12642.0,36.81,12.0,0.0,6.0,0.0,42.0,32.0,26.0,0.0,0.0,37.5,0.0
119200,British Columbia,Vancouver,49.28273,-123.12074,female,Bachelor,Rural,51833.0,Divorced,Star,3903.8,Standard,601,601.0,,False,145.3,8.072222222222223,56.4,27176.13,29.86,27.32,1.0,18.0,20.650000000000002,43.98,20.990000000000002,14.38,3.33,41.0,9.84,45.45
175967,British Columbia,Whistler,50.116322,-122.95736,male,Bachelor,Suburban,60230.0,Married,Star,3906.67,2021 Promotion,318,318.0,,False,187.8,8.536363636363637,59.07,28355.06,18.12,27.69,0.0,22.0,38.660000000000004,35.68,16.99,8.68,31.54,8.96,72.41,0.0
238119,Quebec,Montreal,45.50169,-73.567253,male,Bachelor,Rural,60230.0,Married,Star,3906.67,Standard,2051,2051.0,,False,242.5,8.981481481481481,59.76,41036.05,12.33,23.46,0.0,27.0,33.61,33.28,22.76,10.35,36.81,7.06,0.0,84.46
730388,Ontario,Thunder Bay,48.380894,-89.247681,male,College,Rural,0.0,Single,Star,3907.03,Standard,2434,2434.0,,False,233.3,8.332142857142857,60.22,53125.86,0.0,27.78,0.0,28.0,22.939999999999998,43.03,22.42,11.62,31.21,30.68,33.08,0.0
834891,British Columbia,Vancouver,49.28273,-123.12074,female,Bachelor,Rural,30821.0,Married,Star,3911.12,Standard,662,41.0,621.0,True,,,,,,,,,,,,,,,,
127400,British Columbia,Whistler,50.116322,-122.95736,female,College,Rural,0.0,Single,Star,3914.72,Standard,1648,1648.0,,False,139.4,7.336842105263158,61.62,40448.67,20.18,22.96,2.0,19.0,25.1,32.85,29.77,12.27,32.57,32.53,13.73,0.0
324557,Quebec,Montreal,45.50169,-73.567253,female,College,Urban,0.0,Single,Star,3914.72,Standard,2136,2136.0,,False,160.6,6.691666666666666,46.55,36306.52,28.09,22.85,0.0,24.0,33.93000000000001,33.68,28.65,3.74,5.5,56.75,0.0,50.0
742002,Ontario,Toronto,43.653225,-79.383186,female,College,Urban,0.0,Single,Star,3915.8,Standard,960,960.0,,False,140.3,6.680952380952381,64.11,26990.920000000002,16.24,26.02,1.0,21.0,61.94,9.98,26.729999999999997,1.35,24.28,28.57,30.4,0.0
536567,Alberta,Peace River,56.23418,-117.28938,male,Bachelor,Suburban,66676.0,Married,Star,3919.37,Standard,963,963.0,,False,258.2,10.328,36.76,39489.92,24.76,19.67,0.0,25.0,22.65,34.08,25.64,17.62,27.01,19.43,16.62,15.16
704835,British Columbia,Whistler,50.116322,-122.95736,male,Bachelor,Urban,66676.0,Married,Star,3919.37,Standard,835,835.0,,False,185.1,8.04782608695652,47.95,35380.2,52.54,29.12,3.0,23.0,38.35,31.33,21.07,9.24,33.8,13.79,56.15,0.0
733338,Ontario,Thunder Bay,48.380894,-89.247681,female,Bachelor,Rural,66676.0,Married,Star,3919.37,Standard,941,245.0,696.0,True,19.0,9.5,7.44,1853.04,0.0,40.0,23.0,2.0,100.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0
758635,Quebec,Montreal,45.50169,-73.567253,male,Bachelor,Suburban,66676.0,Married,Star,3919.37,Standard,193,193.0,,False,31.0,10.333333333333334,53.3,3453.0,0.0,22.58,0.0,3.0,0.0,12.9,41.94,45.16,0.0,0.0,0.0,50.0
823048,British Columbia,Vancouver,49.28273,-123.12074,male,Bachelor,Urban,66676.0,Married,Star,3919.37,Standard,235,235.0,,False,55.0,11.0,43.6,13144.0,0.0,14.55,1.0,5.0,0.0,65.46000000000001,34.55,0.0,0.0,11.11,21.05,0.0
612905,Ontario,Toronto,43.653225,-79.383186,female,College,Rural,0.0,Married,Star,3920.51,Standard,1401,1401.0,,False,186.8,8.121739130434783,44.12,30563.93,29.06,37.63,0.0,23.0,44.27,14.290000000000001,37.69,3.75,22.13,78.65,34.09,100.0
679908,Quebec,Montreal,45.50169,-73.567253,female,Bachelor,Rural,62445.0,Married,Star,3921.02,Standard,1233,1233.0,,False,199.7,6.656666666666666,67.45,46827.65,25.22,22.28,0.0,30.0,49.58,21.939999999999998,23.48,5.01,27.47,21.69,8.1,40.0
704150,Manitoba,Winnipeg,49.895138,-97.138374,male,Bachelor,Urban,62445.0,Married,Star,3921.02,Standard,1525,1525.0,,False,185.2,8.052173913043477,46.36,36363.36,29.27,28.62,0.0,23.0,43.839999999999996,26.939999999999998,22.36,6.86,23.77,18.04,45.89,44.88
869743,Ontario,Sudbury,46.522099,-80.953033,female,Bachelor,Suburban,56480.0,Single,Star,3924.42,Standard,781,243.0,538.0,True,98.8,9.879999999999999,31.02,19714.75,0.0,19.23,17.0,10.0,51.91,48.08,0.0,0.0,25.93,12.0,0.0,0.0
596179,New Brunswick,Fredericton,45.963589,-66.643112,female,Bachelor,Suburban,25927.0,Single,Star,3933.81,Standard,1738,1738.0,,False,234.2,8.674074074074074,49.38,30332.74,0.0,19.51,1.0,27.0,58.17,14.86,26.18,0.81,19.16,22.99,18.92,0.0
370450,Ontario,Thunder Bay,48.380894,-89.247681,female,High School or Below,Urban,20920.0,Married,Star,3934.1,Standard,2250,2250.0,,False,207.3,7.973076923076923,56.74,50533.41,41.44,37.77,0.0,26.0,34.44,22.04,26.3,17.22,45.24,54.05,32.11,10.64
501030,British Columbia,Vancouver,49.28273,-123.12074,male,Bachelor,Urban,84229.0,Married,Star,3934.71,Standard,645,645.0,,False,136.5,7.184210526315789,40.89,26318.37,0.0,19.34,1.0,19.0,25.65,28.94,32.89,12.53,8.57,51.65,6.68,0.0
878633,Ontario,Trenton,44.101128,-77.576309,female,Doctor,Rural,19245.0,Married,Star,3936.79,Standard,1854,1854.0,,False,231.0,9.24,48.85,48528.2,0.0,23.42,0.0,25.0,42.129999999999995,32.519999999999996,15.02,10.35,11.92,32.36,8.65,63.6
285938,Quebec,Montreal,45.50169,-73.567253,female,Bachelor,Suburban,60021.0,Married,Star,3939.01,Standard,1579,1579.0,,False,193.9,8.430434782608696,45.25,39136.32,12.82,38.16,2.0,23.0,36.980000000000004,27.23,25.99,9.8,25.66,47.73,49.01,30.0
588237,Quebec,Tremblant,46.118462,-74.596184,male,Bachelor,Rural,60021.0,Married,Star,3939.01,Standard,1861,1861.0,,False,178.6,7.144,64.19,35705.15,65.6,18.59,2.0,25.0,35.85,26.2,37.95,0.0,34.69,10.68,8.85,0.0
645280,British Columbia,West Vancouver,49.328625,-123.16019,male,Bachelor,Suburban,60021.0,Married,Star,3939.01,Standard,2207,2207.0,,False,222.4,7.6689655172413795,67.43,38646.18,31.28,22.75,2.0,29.0,29.089999999999996,44.02,25.179999999999996,1.71,8.81,25.23,29.29,100.0
864324,Quebec,Quebec City,46.813877,-71.207977,female,Bachelor,Rural,60021.0,Married,Star,3939.01,Standard,210,210.0,,False,212.4,7.585714285714286,63.72,41894.1,43.42,26.84,1.0,28.0,24.57,43.739999999999995,19.16,12.52,26.63,30.36,36.61,0.0
124678,Nova Scotia,Halifax,44.648766,-63.575237,male,Doctor,Urban,18375.0,Married,Star,3954.34,Standard,2026,2026.0,,False,251.3,8.376666666666667,63.07,42311.52,10.05,21.85,1.0,30.0,36.42,44.33,19.26,0.0,28.42,19.84,14.05,0.0
186015,British Columbia,Vancouver,49.28273,-123.12074,male,Doctor,Rural,18375.0,Married,Star,3954.34,Standard,1212,1212.0,,False,187.5,9.868421052631579,45.48,31420.35,39.81,27.47,0.0,19.0,29.65,29.33,28.79,12.21,10.79,58.18,3.7,50.22
461108,Quebec,Montreal,45.50169,-73.567253,male,Doctor,Urban,18375.0,Married,Star,3954.34,Standard,76,76.0,,False,6.0,3.0,47.14,2398.0,0.0,0.0,0.0,2.0,0.0,0.0,66.67,33.33,0.0,0.0,0.0,0.0
589580,British Columbia,Whistler,50.116322,-122.95736,male,Doctor,Suburban,18375.0,Married,Star,3954.34,Standard,1221,1221.0,,False,250.2,10.424999999999999,36.23,37834.590000000004,39.59,20.14,0.0,24.0,47.84,34.089999999999996,8.16,9.91,11.45,21.81,60.78,22.98
623688,Ontario,London,42.984924,-81.245277,female,Doctor,Rural,18375.0,Married,Star,3954.34,Standard,968,968.0,,False,255.9,9.477777777777778,40.46,36145.520000000004,55.02,28.14,1.0,27.0,44.58,27.66,22.55,5.2,20.33,28.95,49.05,0.0
751616,Ontario,Trenton,44.101128,-77.576309,female,Doctor,Suburban,18375.0,Married,Star,3954.34,2021 Promotion,257,257.0,,False,89.3,7.441666666666666,35.26,24095.61,37.56,31.91,15.0,12.0,40.42,38.3,21.28,0.0,15.79,22.22,80.0,0.0
256147,Ontario,Toronto,43.653225,-79.383186,female,College,Suburban,0.0,Married,Star,3958.0,Standard,2309,2309.0,,False,231.5,8.574074074074074,58.87,48697.08,9.99,36.41,2.0,27.0,31.490000000000002,47.69,12.61,8.21,20.85,34.78,53.08,80.0
329382,Quebec,Montreal,45.50169,-73.567253,male,College,Suburban,0.0,Single,Star,3961.59,2021 Promotion,2317,2317.0,,False,,,,,,,,,,,,,,,,
140392,British Columbia,Vancouver,49.28273,-123.12074,female,Bachelor,Rural,88701.0,Married,Star,3963.39,Standard,1987,1987.0,,False,167.6,6.983333333333333,56.97,27279.69,51.17,37.17,1.0,24.0,33.05,29.72,37.230000000000004,0.0,20.58,57.83,35.42,0.0
541008,Ontario,London,42.984924,-81.245277,male,Bachelor,Suburban,38096.0,Divorced,Star,3963.4,2021 Promotion,270,270.0,,False,52.0,10.4,42.24,8816.0,0.0,46.15,0.0,5.0,7.69,40.38,23.08,28.85,100.0,42.86,25.0,53.33
230908,British Columbia,Vancouver,49.28273,-123.12074,male,Doctor,Suburban,23474.0,Divorced,Star,3964.15,Standard,2409,2409.0,,False,257.1,8.865517241379312,56.7,54243.84,24.52,14.55,0.0,29.0,36.29,31.689999999999998,24.240000000000002,7.78,9.54,18.65,21.35,0.0
972581,British Columbia,Vancouver,49.28273,-123.12074,male,High School or Below,Rural,14616.0,Married,Star,3964.53,Standard,1051,1051.0,,False,149.5,7.119047619047619,48.09,28931.19,49.08,28.16,0.0,21.0,37.33,37.67,21.66,3.34,15.41,32.5,46.91,0.0
357549,British Columbia,Whistler,50.116322,-122.95736,female,Bachelor,Rural,60817.0,Single,Star,3964.73,Standard,100,-854.0,954.0,True,,,,,,,,,,,,,,,,
157729,British Columbia,Victoria,48.428421,-123.36565,male,Bachelor,Rural,72439.0,Married,Star,3966.13,2021 Promotion,287,287.0,,False,58.0,11.6,44.63,9562.0,0.0,22.41,0.0,5.0,37.93,25.86,8.62,27.59,36.36,0.0,0.0,31.25
910875,Quebec,Hull,45.42873,-75.713364,female,Bachelor,Urban,72439.0,Married,Star,3966.13,Standard,2249,2249.0,,False,136.2,7.168421052631579,59.07,28952.62,13.42,19.46,0.0,19.0,61.45,23.939999999999998,5.14,9.47,27.0,0.0,28.57,14.73
501704,Quebec,Hull,45.42873,-75.713364,male,College,Suburban,0.0,Divorced,Star,3974.86,Standard,2067,2067.0,,False,186.0,7.75,66.27,37657.840000000004,100.0,28.71,1.0,24.0,46.510000000000005,24.509999999999998,22.849999999999998,6.13,19.42,46.93,8.94,100.0
529098,British Columbia,Vancouver,49.28273,-123.12074,female,College,Urban,0.0,Divorced,Star,3974.86,Standard,433,433.0,,False,98.3,7.561538461538461,60.26,18064.92,94.93,30.93,1.0,13.0,11.19,29.5,30.32,28.99,9.09,31.03,42.95,26.67
265297,Manitoba,Winnipeg,49.895138,-97.138374,female,Bachelor,Urban,39101.0,Married,Star,3978.67,Standard,166,-853.0,1019.0,True,38.0,9.5,55.37,4683.0,0.0,7.89,0.0,4.0,0.0,36.84,36.839999999999996,26.32,0.0,0.0,21.43,0.0
567875,Quebec,Quebec City,46.813877,-71.207977,female,Bachelor,Suburban,96413.0,Married,Star,3979.72,Standard,594,594.0,,False,67.3,6.7299999999999995,33.32,22530.97,0.0,26.45,0.0,10.0,16.34,47.25,13.37,23.03,72.73,30.82,0.0,0.0
688524,Manitoba,Winnipeg,49.895138,-97.138374,female,Bachelor,Urban,98333.0,Married,Star,3980.42,Standard,2105,2105.0,,False,130.7,5.9409090909090905,69.13,26796.27,100.0,28.92,0.0,22.0,42.93,12.93,16.07,28.08,51.52,23.08,9.52,8.17
269070,British Columbia,Vancouver,49.28273,-123.12074,male,Master,Rural,17220.0,Married,Star,3985.32,Standard,2177,2177.0,,False,220.0,7.333333333333333,49.86,54180.38,29.36,28.59,0.0,30.0,42.81999999999999,24.77,23.22,9.18,19.75,33.76,35.62,38.12
387705,Quebec,Hull,45.42873,-75.713364,female,Master,Suburban,17220.0,Married,Star,3985.32,Standard,2070,2070.0,,False,213.0,8.52,41.73,38157.34,43.71,23.15,1.0,25.0,34.85,24.089999999999996,41.089999999999996,0.0,34.23,31.77,8.69,0.0
923293,Saskatchewan,Regina,50.44521,-104.6189,male,Bachelor,Suburban,75007.0,Divorced,Star,3985.55,Standard,932,932.0,,False,226.9,7.824137931034483,61.11,43895.87,21.87,26.36,0.0,29.0,30.939999999999998,41.91,16.490000000000002,10.67,30.06,2.1,33.42,100.0
283314,Ontario,Toronto,43.653225,-79.383186,female,Bachelor,Suburban,54964.0,Married,Star,3991.73,Standard,2083,657.0,1426.0,True,,,,,,,,,,,,,,,,
322102,British Columbia,Vancouver,49.28273,-123.12074,male,College,Suburban,0.0,Married,Star,3992.58,Standard,1959,243.0,1716.0,True,,,,,,,,,,,,,,,,
789157,British Columbia,Vancouver,49.28273,-123.12074,female,College,Rural,0.0,Single,Star,3995.36,Standard,96,96.0,,False,12.0,6.0,23.57,2480.0,0.0,0.0,1.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0
654748,Ontario,Ottawa,45.421532,-75.697189,female,Bachelor,Rural,46210.0,Married,Star,3996.77,Standard,636,244.0,392.0,True,81.7,8.17,41.88,15269.02,0.0,20.93,12.0,10.0,0.0,11.63,58.14000000000001,30.23,0.0,0.0,16.0,38.46
984713,Ontario,Sudbury,46.522099,-80.953033,female,College,Suburban,0.0,Single,Star,3997.48,Standard,148,148.0,,False,15.0,7.5,84.85,2713.0,100.0,60.0,1.0,2.0,0.0,0.0,100.0,0.0,0.0,0.0,60.0,0.0
114835,Ontario,Toronto,43.653225,-79.383186,female,Master,Suburban,19782.0,Divorced,Star,4001.52,Standard,545,545.0,,False,128.3,7.127777777777778,56.91,35028.88,0.0,24.4,0.0,18.0,31.18,12.24,44.43,12.16,25.0,87.26,6.67,24.36
328936,Ontario,Thunder Bay,48.380894,-89.247681,female,Bachelor,Suburban,28987.0,Married,Star,4005.72,Standard,1380,1380.0,,False,230.20000000000002,8.853846153846154,51.05,36080.01,37.98,33.97,0.0,26.0,28.98,40.84,27.28,2.91,37.48,38.4,27.23,0.0
845864,British Columbia,Vancouver,49.28273,-123.12074,female,Doctor,Urban,15413.0,Married,Star,4013.85,Standard,2076,2076.0,,False,216.6,8.664,58.23,48433.03,43.07,29.92,0.0,25.0,54.290000000000006,39.43,4.89,1.39,22.62,31.15,81.13,100.0
645265,Quebec,Quebec City,46.813877,-71.207977,male,Bachelor,Suburban,56586.0,Married,Star,4013.95,Standard,2126,2126.0,,False,169.8,6.5307692307692315,55.36,51241.86,5.75,22.61,0.0,26.0,32.16,31.28,27.91,8.66,31.68,21.85,12.03,25.85
223587,British Columbia,Vancouver,49.28273,-123.12074,female,Bachelor,Rural,93284.0,Married,Star,4013.96,Standard,497,497.0,,False,129.4,7.188888888888889,56.37,27897.83,30.89,19.17,0.0,18.0,16.23,20.09,37.71,25.97,9.52,0.0,27.25,28.27
158560,British Columbia,Vancouver,49.28273,-123.12074,male,Bachelor,Suburban,37384.0,Married,Star,4014.45,Standard,1115,1115.0,,False,156.8,8.25263157894737,36.93,32648.98,72.57,32.33,0.0,19.0,44.45,12.88,21.68,20.98,49.35,47.03,0.0,20.67
417584,British Columbia,Vancouver,49.28273,-123.12074,male,Bachelor,Suburban,37384.0,Married,Star,4014.45,Standard,1688,1688.0,,False,180.5,7.8478260869565215,64.77,33217.52,28.75,19.67,0.0,23.0,35.08,35.79,28.59,0.55,25.75,11.76,22.48,0.0
566033,Ontario,Toronto,43.653225,-79.383186,male,College,Urban,0.0,Married,Star,4015.21,Standard,1293,402.0,891.0,True,,,,,,,,,,,,,,,,
957912,Quebec,Montreal,45.50169,-73.567253,female,Bachelor,Urban,80055.0,Married,Star,4015.34,2021 Promotion,316,316.0,,False,192.9,8.386956521739132,53.63,37563.72,0.0,26.28,0.0,23.0,37.22,31.160000000000004,23.84,7.78,18.52,41.43,27.17,0.0
425854,Ontario,Toronto,43.653225,-79.383186,female,High School or Below,Rural,10074.0,Married,Star,4016.13,Standard,769,769.0,,False,199.2,9.485714285714286,42.58,35638.21,27.91,21.23,6.0,21.0,38.6,36.599999999999994,17.169999999999998,7.63,17.43,26.61,22.22,12.5
174896,Alberta,Edmonton,53.544388,-113.49093,female,College,Urban,0.0,Single,Star,4016.54,Standard,1354,244.0,1110.0,True,,,,,,,,,,,,,,,,
695855,Quebec,Montreal,45.50169,-73.567253,female,College,Suburban,0.0,Divorced,Star,4019.38,Standard,2093,2093.0,,False,157.8,6.312,73.92,37400.77,17.54,16.35,0.0,25.0,47.019999999999996,24.72,22.56,5.7,14.29,9.74,32.02,0.0
