,Loyalty#,SumNumFlights,AvgNumFlights,SumPointsAccumulated,NumMonthsWithFlights,PropOfRedeem,PropOfCompanionFlights,AvgVarNumFlights,MonthsSinceLastFlight,Flights_Month_1,Flights_Month_2,Flights_Month_3,Flights_Month_4,Flights_Month_5,Flights_Month_6,Flights_Month_7,Flights_Month_8,Flights_Month_9,Flights_Month_10,Flights_Month_11,Flights_Month_12,PropCompFlights_Month_1,PropCompFlights_Month_2,PropCompFlights_Month_3,PropCompFlights_Month_4,PropCompFlights_Month_5,PropCompFlights_Month_6,PropCompFlights_Month_7,PropCompFlights_Month_8,PropCompFlights_Month_9,PropCompFlights_Month_10,PropCompFlights_Month_11,PropCompFlights_Month_12,PropCompFlightsSeason_LowSeasonEarlyYear,PropCompFlightsSeason_PeakSeasonSummer,PropCompFlightsSeason_Autumn,PropCompFlightsSeason_HolidayPeak
10,100550,212,8.153846153846153,40732.97,26,29.93,23.58,58.12,2,7.62,11.83,10.41,4.7,16.41,5.8,21.73,8.9,2.9,15.5,0.0,0.0,0.0,0.0,25.93,0.0,0.0,0.0,20.83,100.0,100.0,32.94,0.0,0.0,6.14,42.3,39.29,0.0
11,100585,203,7.518518518518518,41549.82,26,64.35,19.21,59.41,0,14.01,16.17,13.83,1.45,12.36,0.0,16.32,4.9,15.25,5.12,0.0,12.35,15.56,0.0,33.52,100.0,0.0,0.0,75.0,33.33,8.16,0.0,0.0,0.0,14.15,53.45,6.3,0.0
12,100590,28,4.666666666666667,8566.0,6,48.41,10.71,86.43,1,0.0,0.0,0.0,3.57,17.86,32.14,35.71,0.0,0.0,7.14,3.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,0.0,100.0,0.0
13,100642,183,7.956521739130435,39458.659999999996,23,19.54,17.49,46.18,1,5.66,0.0,10.01,5.68,0.0,16.31,9.01,21.12,18.48,17.8,9.19,0.0,100.0,0.0,100.0,0.0,0.0,0.0,51.67,0.0,0.0,29.97,0.0,0.0,60.83,8.44,10.5,0.0
14,100644,151,6.863636363636363,27687.5,21,91.38,30.46,76.48,0,19.51,0.83,20.0,4.88,14.39,34.67,0.0,15.77,7.88,17.07,14.63,6.26,50.0,100.0,13.33,100.0,29.56,44.72,0.0,33.33,0.0,0.0,0.0,100.0,29.21,52.23,0.0,100.0
15,100646,138,7.2631578947368425,23297.33,19,19.67,24.64,56.55,1,4.76,3.17,0.0,23.59,9.29,28.57,9.52,22.73,11.11,19.6,7.94,9.29,0.0,0.0,0.0,36.7,0.0,22.22,100.0,0.0,85.71,0.0,0.0,100.0,27.22,11.11,11.76,100.0
16,100727,220,7.857142857142857,42449.49,27,35.84,20.45,58.55,0,14.79,6.45,3.23,5.43,16.56,7.29,16.56,11.81,10.36,6.45,1.08,11.45,8.33,0.0,100.0,33.33,19.44,7.89,8.89,66.67,33.33,66.67,100.0,0.0,14.7,35.77,25.0,0.0
17,100737,205,9.318181818181818,37386.63,22,62.91,27.8,39.38,1,8.25,10.31,0.0,7.22,5.25,18.95,19.42,14.65,8.25,13.37,17.02,0.0,50.0,0.0,0.0,14.29,6.67,0.0,35.07,43.52,100.0,49.83,27.22,0.0,6.67,24.69,39.58,0.0
18,100753,283,9.758620689655173,52798.909999999996,29,15.33,25.8,47.41,3,6.45,8.57,17.93,11.05,1.26,21.84,11.44,8.17,7.45,10.3,8.57,2.13,46.43,0.0,4.76,30.6,100.0,55.4,55.56,0.0,33.33,20.63,0.0,0.0,20.33,45.04,38.57,0.0
19,100816,143,6.809523809523809,37343.56,21,0.0,15.38,46.81,0,18.03,13.07,21.03,1.56,0.0,0.0,9.38,15.62,20.25,0.0,10.43,8.34,22.75,33.33,0.0,100.0,0.0,0.0,0.0,40.0,16.67,0.0,11.11,38.89,16.23,25.0,9.23,38.89
20,100853,195,7.8,30348.38,25,29.86,24.62,62.7,1,8.33,9.86,7.63,4.58,18.03,27.36,0.0,14.29,12.47,6.77,15.87,15.14,100.0,84.52,0.0,100.0,0.0,30.5,0.0,11.11,36.67,0.0,0.0,0.0,33.69,24.03,27.62,0.0
21,100883,156,9.176470588235293,22999.14,17,0.0,8.97,48.47,0,16.75,0.0,0.0,9.78,0.0,20.29,0.0,31.71,17.26,17.39,7.25,15.28,0.0,0.0,0.0,22.22,0.0,14.29,0.0,0.0,0.0,16.67,0.0,28.43,14.81,2.08,3.92,28.43
22,100890,136,6.476190476190476,25234.48,21,61.22,28.68,51.12,0,15.84,11.67,6.43,15.25,17.64,1.69,6.78,11.86,24.65,16.95,11.67,13.56,26.67,10.0,100.0,55.56,0.0,100.0,100.0,0.0,23.23,0.0,100.0,37.5,26.91,41.67,36.7,37.5
23,101018,201,6.483870967741935,46440.11,29,21.08,28.86,70.1,1,8.93,3.48,4.97,3.67,15.93,7.49,13.49,12.64,1.46,12.12,13.48,23.78,33.33,50.0,100.0,0.0,19.44,38.89,72.22,0.0,0.0,25.0,0.0,53.14,26.17,35.38,3.33,53.14
24,101148,169,8.45,27326.21,20,29.89,15.98,44.85,0,0.0,18.64,18.98,9.39,14.68,15.62,0.0,0.0,14.58,15.97,0.0,13.74,0.0,24.81,0.0,0.0,0.0,40.0,0.0,0.0,4.55,16.5,0.0,77.78,9.31,40.0,9.76,77.78
25,101363,149,6.7727272727272725,28356.32,21,69.77,21.48,68.49,0,16.54,4.78,1.72,1.82,22.41,20.69,14.32,0.0,26.32,10.85,24.2,13.79,0.0,100.0,0.0,0.0,30.77,0.0,0.0,0.0,20.34,80.0,13.33,0.0,26.85,0.0,28.35,0.0
26,101487,273,8.272727272727273,46622.1,32,82.53,19.78,56.72,0,4.74,9.41,8.09,11.0,6.96,21.05,10.59,10.24,3.96,7.19,11.34,7.98,77.78,52.78,0.0,4.17,27.78,28.89,25.4,30.95,50.0,0.0,3.03,9.8,24.65,23.13,3.51,9.8
27,101515,158,6.32,44554.36,23,60.42,25.95,71.01,1,17.87,0.0,3.67,7.78,9.84,19.38,13.45,15.54,17.39,23.91,7.06,8.03,0.0,0.0,100.0,0.0,0.0,33.33,0.0,83.5,0.0,0.0,77.78,77.5,11.96,48.73,58.93,77.5
28,101540,141,7.833333333333333,29487.96,18,25.24,19.15,65.42,0,7.69,9.23,4.62,0.0,0.0,38.3,15.51,10.77,11.81,19.76,10.77,10.78,0.0,0.0,33.33,0.0,0.0,22.27,29.17,0.0,32.5,46.43,0.0,0.0,7.14,19.14,27.51,0.0
29,101544,181,8.227272727272727,34293.409999999996,22,41.28,23.2,47.73,0,8.4,9.7,7.69,11.82,23.31,23.08,7.69,2.56,19.4,20.24,12.82,10.26,33.33,56.35,0.0,15.15,20.63,0.0,83.33,0.0,0.0,12.12,40.0,62.5,29.61,19.23,12.7,62.5
30,101547,58,7.25,12215.0,8,38.76,18.97,68.27,1,12.07,8.62,13.79,5.17,0.0,0.0,15.52,31.03,3.45,0.0,10.34,0.0,14.29,0.0,0.0,100.0,0.0,0.0,22.22,0.0,100.0,0.0,50.0,0.0,17.39,7.41,62.5,0.0
31,101581,171,7.125,32924.11,23,39.67,12.87,72.79,1,8.31,0.0,9.14,4.77,4.92,10.0,30.37,0.83,8.2,18.8,17.02,0.0,33.33,0.0,0.0,0.0,33.33,0.0,11.67,0.0,0.0,20.0,17.41,0.0,8.33,11.67,16.05,0.0
32,101594,201,7.178571428571429,42150.78,26,31.08,23.88,62.76,0,15.95,0.0,13.61,4.31,10.75,8.6,10.21,1.63,19.88,3.42,9.49,18.45,10.0,0.0,4.17,23.81,0.0,62.5,63.33,100.0,0.0,0.0,0.0,68.67,8.42,68.05,0.0,68.67
33,101644,6,6.0,2083.0,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,101663,207,7.666666666666667,44072.35,25,33.26,26.57,60.97,0,11.48,2.61,6.15,0.63,13.05,12.87,15.9,11.67,10.28,21.31,13.05,17.71,0.0,87.5,10.0,100.0,0.0,37.01,33.33,100.0,2.56,23.08,0.0,35.73,14.97,39.11,5.13,35.73
35,101664,134,6.380952380952381,37758.53,21,0.0,22.39,75.72,0,8.79,10.42,9.23,3.08,7.17,12.99,46.56,15.38,12.31,0.0,7.69,16.08,66.67,11.11,16.67,0.0,100.0,72.92,0.0,0.0,0.0,0.0,100.0,33.33,51.93,12.77,38.46,33.33
36,101709,197,7.296296296296297,43082.66,27,16.04,22.84,50.97,4,12.09,11.94,0.0,11.73,3.19,11.87,14.19,20.14,10.99,10.99,5.79,3.19,0.0,25.4,0.0,53.28,100.0,14.81,40.83,0.0,17.36,0.0,100.0,58.33,26.24,17.05,27.72,58.33
37,101768,6,3.0,1265.0,2,0.0,100.0,94.28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0
38,101876,58,8.285714285714286,13920.06,7,70.34,29.31,58.6,6,13.04,0.0,0.0,0.0,13.04,73.91,0.0,0.0,0.0,0.0,57.07,42.93,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,55.05,0.0,100.0,0.0,55.05,0.0
39,101895,154,6.695652173913044,30473.3,23,0.0,18.18,71.55,0,12.32,0.0,8.15,4.06,7.36,27.92,24.62,28.12,10.11,12.5,3.12,12.2,26.67,0.0,0.0,100.0,100.0,0.0,0.0,88.89,13.33,0.0,0.0,0.0,45.45,29.63,6.67,0.0
40,101902,199,8.291666666666666,38550.28,24,9.23,16.08,57.18,0,0.0,7.22,3.09,7.3,14.91,11.82,18.56,31.41,7.36,10.68,12.56,14.43,0.0,0.0,33.33,4.17,28.54,33.33,44.44,0.0,66.67,21.67,0.0,28.57,19.5,16.67,18.11,28.57
41,101945,192,8.347826086956522,37235.98,23,27.08,10.94,43.43,0,8.77,0.0,11.64,0.0,15.62,20.48,7.46,10.76,4.48,12.64,15.22,17.91,0.0,0.0,0.0,0.0,15.15,0.0,0.0,0.0,100.0,33.16,0.0,50.0,7.58,0.0,32.28,50.0
42,102168,83,9.222222222222221,14564.0,9,0.0,20.48,67.23,0,0.0,0.0,3.61,2.41,10.84,21.69,22.89,7.23,0.0,13.25,4.82,13.25,0.0,0.0,0.0,100.0,22.22,27.78,0.0,0.0,0.0,18.18,25.0,45.45,28.57,11.63,20.0,45.45
43,102184,235,8.392857142857142,44162.7,28,0.0,29.36,62.41,0,0.0,4.24,12.77,3.45,5.61,23.82,17.27,13.21,2.67,7.74,12.49,12.48,0.0,66.67,3.03,66.67,100.0,0.0,63.7,27.27,100.0,7.41,0.0,51.79,33.87,29.65,12.12,51.79
44,102207,127,7.470588235294118,29020.8,17,0.0,14.17,62.09,3,0.0,6.13,31.88,7.17,22.99,41.03,0.0,10.21,20.51,0.0,0.0,22.71,0.0,47.22,0.0,38.89,13.7,6.25,0.0,0.0,0.0,0.0,0.0,24.75,14.45,2.08,0.0,24.75
45,102299,218,9.083333333333334,29220.57,24,0.0,30.28,65.81,1,0.0,3.66,16.79,5.24,9.43,23.52,24.75,10.59,12.94,0.0,6.01,6.75,0.0,0.0,35.56,100.0,23.33,53.64,13.73,0.0,45.45,0.0,18.52,0.0,33.63,29.75,16.67,0.0
46,102311,243,9.72,52852.08,25,21.11,12.76,39.46,2,9.89,11.27,8.45,13.21,16.28,11.6,12.7,13.66,13.05,8.47,0.0,0.0,30.0,25.0,0.0,3.33,0.0,45.56,20.51,1.85,4.17,0.0,0.0,0.0,8.19,24.86,2.78,0.0
47,102376,68,11.333333333333334,9160.0,6,49.67,44.12,45.22,0,0.0,0.0,0.0,0.0,5.88,27.94,14.71,14.71,14.71,0.0,0.0,22.06,0.0,0.0,0.0,0.0,75.0,36.84,80.0,0.0,80.0,0.0,0.0,26.67,75.0,38.46,80.0,26.67
48,102464,68,3.4,29787.02,17,41.04,48.53,87.67,1,11.11,7.41,5.09,22.55,12.13,27.21,0.0,2.08,2.08,35.95,3.7,0.0,66.67,0.0,0.0,47.22,0.0,81.67,0.0,0.0,0.0,71.03,0.0,0.0,29.75,75.71,66.03,0.0
49,102615,8,8.0,2260.0,1,0.0,0.0,0.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,102726,95,5.588235294117647,29442.14,15,51.36,29.47,94.28,0,3.12,4.69,0.0,18.75,0.0,12.5,21.88,7.81,2.78,6.02,6.79,62.42,100.0,66.67,0.0,33.33,0.0,0.0,0.0,80.0,0.0,62.5,100.0,23.02,47.06,14.81,69.44,23.02
51,102730,86,8.6,14233.0,10,0.0,43.02,66.73,0,0.0,1.16,6.98,0.0,6.98,13.95,23.26,3.49,6.98,15.12,6.98,15.12,0.0,0.0,0.0,0.0,100.0,41.67,40.0,0.0,100.0,46.15,0.0,46.15,46.15,37.14,48.0,46.15
52,102740,18,9.0,3191.0,2,0.0,11.11,78.57,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.22,0.0,77.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,50.0,0.0
53,102788,214,7.642857142857143,40540.7,26,26.52,21.03,69.8,0,6.0,0.0,7.89,3.56,11.96,0.79,17.04,14.32,17.4,6.0,1.53,21.77,0.0,0.0,0.0,33.33,56.35,100.0,63.64,2.56,20.42,0.0,100.0,0.0,33.9,36.26,24.36,0.0
54,102851,199,7.37037037037037,41041.39,27,38.52,36.18,56.59,1,4.93,3.87,16.98,15.49,16.85,7.27,0.0,15.8,14.9,2.82,14.63,5.44,66.67,100.0,36.7,0.0,17.86,73.33,0.0,69.46,0.0,100.0,17.41,100.0,35.91,58.99,14.26,100.0
55,102877,239,8.241379310344827,51647.4,28,20.52,27.2,65.23,3,1.59,7.99,8.12,13.69,8.12,25.45,16.12,10.79,7.23,0.5,9.21,5.94,0.0,33.33,0.0,21.83,33.04,31.57,84.07,4.55,0.0,100.0,0.0,26.67,26.92,42.03,2.78,26.67
56,102982,129,6.142857142857143,32186.93,19,0.0,44.96,88.76,0,0.0,0.0,7.69,20.66,1.72,8.51,43.78,20.51,5.95,4.57,6.41,11.54,0.0,0.0,0.0,64.29,100.0,66.67,63.43,0.0,13.33,37.5,20.0,88.89,41.14,51.52,16.67,88.89
57,103043,216,8.307692307692308,48260.18,26,14.04,20.83,40.25,0,11.26,10.64,10.64,3.1,12.48,20.0,9.38,12.91,10.53,14.29,11.9,5.36,0.0,0.0,0.0,0.0,24.75,9.52,100.0,34.44,50.0,0.0,0.0,0.0,4.34,35.26,22.12,0.0
58,103151,159,6.36,46937.87,25,21.59,10.06,52.12,0,19.61,9.8,6.45,10.19,4.58,16.13,16.47,4.58,10.06,15.79,25.49,11.3,0.0,40.0,0.0,0.0,16.67,33.33,31.28,0.0,0.0,0.0,0.0,13.33,7.01,24.96,0.0,13.33
59,103217,164,8.631578947368421,34110.19,19,0.0,22.56,51.99,0,17.89,0.0,16.46,0.0,20.85,2.53,4.73,1.27,22.73,16.46,23.49,17.72,31.48,0.0,53.85,0.0,0.0,100.0,66.67,0.0,7.69,15.38,0.0,64.29,22.6,80.0,6.41,64.29
60,103304,198,7.615384615384615,37846.57,26,38.06,29.29,52.14,1,1.69,12.12,13.56,6.17,6.0,0.0,18.45,17.63,13.56,11.39,9.06,14.36,0.0,0.0,25.0,20.0,0.0,0.0,0.0,31.24,25.0,41.11,52.7,85.35,6.94,18.53,43.01,85.35
61,103340,231,10.5,36112.33,22,0.0,29.44,45.32,2,0.0,2.33,13.95,12.76,10.12,20.25,20.78,12.76,16.83,7.83,0.0,12.76,0.0,100.0,100.0,29.02,0.0,34.17,16.58,29.02,7.69,51.67,0.0,70.98,33.43,19.94,21.84,70.98
62,103359,236,8.74074074074074,37976.46,27,23.14,13.56,55.56,0,7.99,8.59,20.88,12.34,9.17,8.33,19.68,4.27,5.58,9.17,10.83,9.61,0.0,25.0,6.55,24.44,0.0,0.0,15.69,0.0,0.0,18.18,0.0,66.67,11.61,9.88,1.75,66.67
63,103362,9,9.0,1184.0,1,0.0,11.11,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.11,0.0,0.0,0.0,11.11,0.0
64,103436,232,7.733333333333333,43335.48,28,26.72,17.24,64.34,0,1.22,3.66,13.85,0.61,7.9,7.48,11.88,20.04,12.72,10.92,13.76,3.66,100.0,0.0,0.0,0.0,57.74,66.67,25.4,13.66,0.0,23.23,5.56,0.0,23.89,21.63,11.79,0.0
65,103490,202,8.782608695652174,34165.229999999996,23,0.0,23.27,43.69,0,10.58,4.65,10.47,16.43,19.61,3.49,14.07,7.49,0.0,13.81,0.0,17.29,42.22,0.0,0.0,26.11,0.0,0.0,3.92,81.48,0.0,29.97,0.0,43.43,14.19,30.13,29.97,43.43
66,103502,89,5.5625,25225.06,16,19.6,44.94,68.53,0,5.13,0.0,0.0,12.82,28.21,0.0,44.16,22.41,13.96,10.16,0.0,13.3,100.0,0.0,0.0,60.0,0.0,0.0,77.5,0.0,70.83,33.33,0.0,93.94,27.78,34.44,56.94,93.94
67,103536,278,8.96774193548387,51234.3,31,8.59,19.06,49.32,0,5.42,11.46,10.49,3.85,8.24,18.04,12.08,2.72,10.98,11.15,7.85,13.96,0.0,45.45,14.29,83.33,10.0,12.5,22.5,100.0,0.0,5.56,54.34,14.77,16.48,23.32,17.98,14.77
68,103699,78,9.75,13624.0,8,0.0,15.38,48.34,0,0.0,7.69,15.38,6.41,3.85,12.82,19.23,0.0,0.0,14.1,0.0,20.51,0.0,0.0,41.67,0.0,100.0,0.0,0.0,0.0,0.0,36.36,0.0,0.0,30.77,0.0,36.36,0.0
69,103731,159,6.625,26503.41,23,14.87,26.42,50.91,0,19.43,16.5,16.5,3.28,9.11,15.67,13.27,0.0,13.11,0.0,5.0,9.94,0.0,46.3,11.57,100.0,0.0,20.0,100.0,0.0,0.0,0.0,50.0,33.33,19.2,56.13,50.0,33.33
70,103758,59,11.8,6456.0,5,0.0,18.64,36.65,0,0.0,0.0,0.0,0.0,0.0,0.0,28.81,20.34,20.34,22.03,0.0,8.47,0.0,0.0,0.0,0.0,0.0,0.0,11.76,0.0,66.67,0.0,0.0,20.0,0.0,6.9,32.0,20.0
71,103823,210,8.4,37097.68,25,31.15,25.71,53.9,0,4.42,13.32,12.22,0.0,5.0,17.56,13.33,15.59,1.67,6.56,14.67,28.33,0.0,24.75,0.0,0.0,100.0,0.0,0.0,71.13,100.0,42.22,40.83,47.06,15.03,20.9,40.56,47.06
72,103860,210,7.5,44496.12,28,40.86,30.95,60.12,0,6.22,11.86,5.8,8.13,18.59,8.57,5.8,19.52,6.37,15.22,4.94,1.45,0.0,13.33,0.0,44.44,17.95,100.0,0.0,60.39,0.0,0.0,100.0,100.0,14.59,64.42,11.62,100.0
73,103862,170,8.5,38237.6,20,67.76,31.76,51.85,0,10.26,7.69,0.0,16.17,0.0,12.23,32.09,17.2,7.78,10.26,1.28,14.1,62.5,0.0,0.0,0.0,0.0,0.0,11.9,64.81,88.89,75.0,100.0,81.82,7.25,22.6,91.67,81.82
74,103916,177,7.08,36417.26,24,36.96,36.16,72.93,0,0.71,12.0,22.75,17.34,3.9,5.49,4.0,15.66,14.0,7.08,13.96,14.62,0.0,83.33,21.37,31.67,100.0,100.0,100.0,70.37,0.0,0.0,8.16,47.32,34.16,73.33,5.93,47.32
75,103969,171,6.84,39504.13,25,35.15,45.61,46.36,0,14.12,8.86,0.0,3.0,17.63,11.99,16.1,16.96,12.11,0.0,6.38,9.46,19.44,63.33,0.0,0.0,8.89,11.57,95.45,66.67,100.0,0.0,100.0,33.33,23.61,48.14,100.0,33.33
76,103970,205,7.592592592592593,48374.71,26,0.0,32.68,58.36,0,7.36,8.5,18.53,8.05,6.9,16.09,10.34,7.61,12.69,3.97,7.73,22.35,100.0,33.33,0.0,57.14,100.0,28.57,44.44,77.5,63.89,50.0,0.0,15.69,33.04,63.26,34.89,15.69
77,103975,50,12.5,5457.0,4,100.0,22.0,15.32,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,26.0,22.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33,0.0,54.55,0.0,0.0,0.0,28.21,0.0
78,103985,18,6.0,4160.0,3,0.0,33.33,28.87,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.44,0.0,27.78,27.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,100.0,0.0,0.0,7.69,100.0
79,104103,173,6.92,40537.73,25,29.35,36.42,71.03,1,3.37,4.98,6.06,7.85,7.41,26.58,20.02,24.24,3.03,13.61,7.21,20.02,66.67,100.0,50.0,0.0,100.0,46.09,46.41,100.0,0.0,0.0,33.33,0.0,65.28,52.49,16.67,0.0
80,104267,43,7.166666666666667,12394.0,6,0.0,62.79,65.1,0,0.0,0.0,0.0,20.93,30.23,13.95,0.0,0.0,0.0,2.33,6.98,25.58,0.0,0.0,0.0,11.11,53.85,100.0,0.0,0.0,0.0,100.0,100.0,81.82,36.36,100.0,100.0,81.82
81,104353,222,7.655172413793103,46529.13,28,17.48,30.63,44.88,0,10.4,7.7,7.7,9.31,4.14,22.64,11.82,10.09,12.35,11.29,8.89,14.17,36.7,0.0,100.0,0.0,8.33,0.0,95.45,76.39,0.0,22.22,46.43,0.0,26.26,57.75,17.46,0.0
82,104431,214,8.23076923076923,41222.22,26,55.93,32.24,54.58,0,16.67,2.86,20.0,2.79,0.0,8.84,25.71,13.02,10.2,16.83,10.29,10.74,29.02,50.0,0.0,100.0,0.0,66.67,16.67,19.35,33.33,24.9,48.81,33.33,31.46,43.16,26.64,33.33
83,104541,158,5.642857142857143,45549.65,27,36.59,18.35,72.06,0,8.28,1.98,18.5,4.61,6.45,11.9,13.1,3.82,14.29,16.02,21.68,16.67,28.33,0.0,0.0,20.0,20.0,0.0,0.0,16.67,66.67,46.43,3.03,0.0,17.38,16.67,24.63,0.0
84,104586,209,8.36,34205.01,23,11.08,12.92,69.31,1,0.57,13.94,5.88,2.34,18.84,0.0,24.75,16.88,15.63,6.46,11.71,0.0,100.0,4.17,0.0,33.33,0.0,0.0,0.0,29.63,23.23,66.67,33.33,0.0,6.08,29.63,22.3,0.0
85,104673,218,9.083333333333334,47508.45,24,17.85,20.18,59.32,0,8.67,9.87,0.0,0.0,9.25,3.41,19.22,21.63,5.36,5.68,10.23,19.56,30.28,0.0,0.0,0.0,53.89,33.33,33.33,13.66,66.67,0.0,0.0,6.06,22.71,22.32,66.67,6.06
86,104732,179,9.421052631578947,27412.13,19,11.49,29.05,51.19,0,0.0,3.27,19.24,16.64,24.36,21.88,0.0,16.56,0.0,18.75,11.18,26.56,0.0,50.0,41.67,0.0,3.33,0.0,0.0,89.44,0.0,33.33,46.03,11.76,23.83,59.63,53.05,11.76
87,104849,178,6.846153846153846,46239.42,26,11.4,16.85,56.45,0,0.0,4.47,10.07,14.67,12.07,15.87,13.0,22.41,15.03,13.39,1.72,6.71,0.0,66.67,22.02,0.0,85.71,0.0,22.22,7.69,33.33,33.33,0.0,0.0,27.19,12.0,27.78,0.0
88,104960,138,9.2,18315.01,15,26.51,27.54,58.13,2,10.67,0.0,35.87,2.67,27.03,23.83,28.0,8.44,10.67,13.33,0.0,0.0,12.5,0.0,26.13,100.0,0.0,46.43,0.0,22.22,62.5,40.0,0.0,0.0,20.24,33.91,50.0,0.0
